source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1950TSN,1949,Georgia-Alabama League,,P10361,Charles,,0,La Grange,,24,,,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Alabama League,,B00434,Chechile,William,1,Griffin,32,,,,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Alabama League,,B00434,Chechile,William,2,Newnan,89,,,,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Alabama League,,B00434,Chechile,William,T,,121,,,,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Alabama League,,F20886,Chechile,,1,Griffin,,,,,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Alabama League,,F20886,Chechile,,2,Newnan,,,,,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Alabama League,,F20886,Chechile,,T,,,,,,,,119,,,,,,
minoraverages/1950TSN,1949,Georgia-Alabama League,,B00904,Ciani,Nicholas,0,Tallassee,117,,,,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Alabama League,,F20924,Ciani,,0,Tallassee,,,,,,,117,,,,,,
minoraverages/1950TSN,1949,Georgia-Alabama League,,B00403,Cichon,Frank,0,Carrollton,55,,,,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Alabama League,,F21037,Cichon,,0,Carrollton,,,,,,,53,,,,,,
minoraverages/1950TSN,1949,Georgia-Alabama League,,B00752,Clark,Ray,0,Valley,44,,,,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Alabama League,,F20657,Clark,,0,Valley,,,,,,44,,,,,,,
minoraverages/1950TSN,1949,Georgia-Alabama League,,B00264,Clements,Ralph,0,Tallassee,36,,,,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Alabama League,,F21434,Clements,,0,Tallassee,,,,,,,,,,,,28,
minoraverages/1950TSN,1949,Georgia-Alabama League,,P10043,Clements,,0,Tallassee,,28,,,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Alabama League,,B01078,Cohen,Hyman,0,La Grange,40,,,,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Alabama League,,F21912,Cohen,,0,La Grange,,,,,,,,,,,,40,
minoraverages/1950TSN,1949,Georgia-Alabama League,,P10215,Cohen,,0,La Grange,,40,,,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Alabama League,,B00794,Coker,James,0,Alexander City,10,,,,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Alabama League,,F20014,Coker,,0,Alexander City,,,10,,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Alabama League,,B00920,Colson,Rodney,0,Valley,38,,,,,,,,,,,,
minoraverages/1950TSN,1949,Georgia-Alabama League,,F21125,Colson,,0,Valley,,,,,,,38,,,,,,
