ident,key,key.retro,key.brminors,name.last,name.first,name.given,birth.date
1916-SOUA:dodge,cw:66d6ecb5,dodgj101,dodge-002joh,Dodge,John,John Lewis,18890427
1916-SOUA:edmondson,cw:d8acc2e3,edmoe101,edmons001ear,Edmonson,Eddie,Earl Edward,18891120
1916-SOUA:elberfeld,cw:f51f274d,elbek101,elberf001nor,Elberfeld,Kid,Norman Arthur,18750413
1916-SOUA:ellam,cw:d37aa353,ellar101,ellam-001roy,Ellam,Roy,Roy,18860208
1916-SOUA:ellis,cw:6ac068f6,,ellis-001wil,Ellis,William,William E.,
1916-SOUA:eschen,cw:28100812,eschj101,eschen002jam,Eschen,Jim,James Godrich,18910821
1916-SOUA:fincher,cw:51d9b8c5,fincb101,finche001wil,Fincher,Bill,William Allen,18940526
1916-SOUA:frost,cw:f4a63eed,,frost-001jam,Frost,James,James R.,
1916-SOUA:gagnier,cw:d018e046,gagne101,gagnie001edw,Gagnier,Ed,John Edward,18830416
1916-SOUA:gibson,cw:d65f7728,gibsf101,gibson001fra,Gibson,Frank,Frank Gilbert,18900927
1916-SOUA:gondolfi,cw:079f134d,,gondol001dan,Gondolfi,Dan,Daniel A.,1889
1916-SOUA:graff,cw:9fc47904,graff101,graff-001fre,Graf,Fred,Frederick Gottleib,18890825
1916-SOUA:grimes-bir,cw:0957655a,grimb101,grimes001bur,Grimes,Burleigh,Burleigh Arland,18930818
1916-SOUA:grimes-mem,cw:2d96c86e,grimr104,grimes001aus,Grimes,Roy,Austin Roy,18930911
1916-SOUA:gutierrez,cw:09888e74,,gutier006jos,Gutierrez,Jose,Jose Maria,
1916-SOUA:hanford,cw:15e7f93a,hanfc101,hanfor001cha,Hanford,Charlie,Charles Joseph,18820603
1916-SOUA:hardgrove,cw:03688c0c,,hardgr001ome,Hardgrove,Omer,Omer William,18850107
1916-SOUA:harris-cha,cw:458c7544,harrj103,harris001jos,Harris,Joe,Joseph,18910520
1916-SOUA:harris-mob,cw:3ac5f6a8,,harris003e--,Harris,E.,E.,
1916-SOUA:hauser,cw:826ba7fe,,hauser001mic,Hauser,Michael,Michael,
1916-SOUA:hemingway,cw:391a4442,hemie101,heming001eds,Hemingway,Ed,Edson Marshall,18930508
1916-SOUA:herbert,cw:5ff9a4c8,herbe101,herber001ern,Herbert,Ernie,Earn Albert,18870130
1916-SOUA:higgins,cw:01a3de8a,higgb102,higgin002rob,Higgins,Bob,Robert Stone,18860923
1916-SOUA:hoff,cw:17041685,hoffr102,hoff--002che,Hoff,Red,Chester Cornelius,18910508
1916-SOUA:holley,cw:bb68f197,,holley001ed-,Holley,Ed,Ed,
1916-SOUA:hollingsworth,cw:fc4d073c,,hollin001joh,Hollingsworth,John,John,
1916-SOUA:holmquist,cw:5a6f6a25,,holmqu001jef,Holmquist,Jeff,Jeff,
1916-SOUA:hyatt,cw:78009a78,hyath101,hyatt-002rob,Hyatt,Ham,Robert Hamilton,18841101
1916-SOUA:jacobson,cw:a2668210,jacow101,jacobs007wil,Jacobson,Baby Doll,William Chester,18900816
1916-SOUA:jantzen,cw:13fb892a,janth101,jantze002wal,Jantzen,Heinie,Walter Charles,18900409
1916-SOUA:johnson,cw:4fe64633,,johnso001art,Johnson,Art,Art,
1916-SOUA:juul,cw:1ca28a65,juulh101,juul--001ear,Juul,Herold,Earl Herold,18930521
1916-SOUA:karr,cw:b21aa5fd,karrb101,karr--001ben,Karr,Benn,Benjamin Joyce,18931128
1916-SOUA:kauffman,cw:ec5dc7b2,kaufd101,kauffm001how,Kauffman,Dick,Howard Richard,18880622
1916-SOUA:kelly,cw:7019a86e,,kelly-023jam,Kelly,James,James,
1916-SOUA:kerr,cw:e144a288,kerrd101,kerr--001ric,Kerr,Dickey,Richard Henry,18930703
1916-SOUA:kirby,cw:95fe8051,kirbl101,kirby-001lar,Kirby,LaRue,LaRue,18891230
1916-SOUA:kissinger,cw:ef25217a,kisir101,kising001cha,Kisinger,Rube,Charles Samuel,18761213
1916-SOUA:kitchens,cw:e5ddc2f1,,kitche001fra,Kitchens,Pop,Gary Frank,18860303
1916-SOUA:knaupp,cw:6a246da2,knauc101,knaupp001hen,Knaupp,Cotton,Henry Antone,18890813
1916-SOUA:knisely,cw:dfa11e41,knisp101,knisel001pet,Knisely,Pete,Peter Cole,18840811
1916-SOUA:knowlson,cw:8be4ca95,knowt101,knowls001tho,Knowlson,Tom,Thomas Herbert,18950423
1916-SOUA:kores,cw:08a15acf,korea101,kores-002art,Kores,Art,Arthur Emil,18860722
1916-SOUA:krapp,cw:14d34d58,krapg101,krapp-002eug,Krapp,Gene,Eugene Hamlet,18870512
1916-SOUA:kroh,cw:e9b56275,krohr101,kroh--001aug,Kroh,Rube,Floyd Myron,18860825
1916-SOUA:lafitte,cw:07d30704,lafie101,lafitt001edw,Lafitte,Ed,Edward Francis,18860407
1916-SOUA:lautenslager,cw:6ca01987,,black-001kar,Black,Karl,Karl Leonard,18900404
1916-SOUA:lear,cw:e73f5313,leark101,lear--001cha,Lear,King,Charles Bernard,18910123
1916-SOUA:leclair,cw:b092d724,,leclai001geo,LeClaire,George,George L.,
1916-SOUA:ledbetter,cw:6e1939aa,ledbr101,ledbet001ral,Ledbetter,Razor,Ralph Overton,18941208
1916-SOUA:lee,cw:7f82f103,lee-b102,lee---009wil,Lee,Billy,William Joseph,18940109
1916-SOUA:lennox,cw:7133cf25,lenne102,lennox001jam,Lennox,Ed,James Edgar,18831103
1916-SOUA:lindsay,cw:405bfb10,lindb102,lindsa003wil,Lindsay,Bill,William Gibbons,18810224
1916-SOUA:manning,cw:0872ea92,manne101,mannin001ern,Manning,Ernie,Ernest Devon,18901009
1916-SOUA:marcan,cw:7af06626,,marcan002art,Marcan,Art,Arthur M.,1881
1916-SOUA:marshall-cha,cw:849c42da,,marsha001rub,Marshall,Rube,Rube,
1916-SOUA:marshall-nas,cw:1f1a55a5,,marsha001cla,Marshall,Clarence,Clarence H.,18870423
1916-SOUA:martina,cw:f3456129,martj104,martin020joh,Martina,John,John Joseph,18890708
1916-SOUA:massey,cw:dd8dd0ae,massm101,massey002wil,Massey,Mike,William Herbert,18930928
1916-SOUA:mayer,cw:ab721dd8,mayes101,mayer-001sam,Mayer,Sam,Samuel Frankel,18930228
1916-SOUA:mcdonald-atl,cw:25abc8d5,mcdot101,mcdona005cha,McDonald,Tex,Charles C.,18910131
1916-SOUA:mcdonald-bir,cw:ced1dc24,mcdoe101,mcdona002edw,McDonald,Ed,Edward Cyril,18861028
1916-SOUA:mcdowell,cw:f36ddf46,,mcdowe001hol,McDowell,Holt,Holt,
1916-SOUA:mcintrye,cw:64d3d363,mcinm101,mcinty001mat,McIntyre,Matty,Matthew Martin,18800612
1916-SOUA:mcmillan,cw:b8bb6f0a,mcmit101,mcmill004tho,McMillan,Tommy,Thomas Law,18880418
1916-SOUA:merritt,cw:5f166dbf,merrj101,merrit001joh,Merritt,John,John Howard,18941012
1916-SOUA:messenger,cw:5e693f58,messb101,messen001cha,Messenger,Bobby,Charles Walter,18840319
1916-SOUA:meusel,cw:a9ef4dc6,meusi101,meusel001emi,Meusel,Irish,Emil Frederick,18930609
1916-SOUA:midkiff,cw:3b2159b8,midke101,midkif003ezr,Midkiff,Ezra,Ezra Millington,18821113
1916-SOUA:monroe,cw:0c295e7b,monre101,monroe001edw,Monroe,Ed,Edward Oliver,18950222
1916-SOUA:moore,cw:ea0af163,,moore-001eug,Moore,Eugene,Eugene,
1916-SOUA:moran,cw:4691d0cf,morar101,moran-001roy,Moran,Roy,Roy Ellis,18840917
1916-SOUA:moriarity,cw:44c82f26,morig101,moriar003geo,Moriarty,George,George Joseph,18850707
1916-SOUA:munch,cw:aa4a6855,muncj101,munch-001jac,Munch,Jake,Jacob Ferdinand,18901116
1916-SOUA:myers,cw:b1f1ed90,,myers-001mah,Myers,Mahlon,Mahlon F.,1892
1916-SOUA:neiderkorn,cw:7febe72c,,nieder001nor,Niederkorn,Norman,Norbert Paul,18941022
1916-SOUA:nicholson.f,cw:96666f89,nichf101,nichol002fre,Nicholson,Fred,Fred,18940901
1916-SOUA:nicholson.o,cw:277a7c9a,nicho101,nichol002ovi,Nicholson,Ovid,Ovid Edward,18881230
1916-SOUA:nolley,cw:1f2d8eb9,,nolley001ruf,Nolley,Rufus,Rufus L.,18801008
1916-SOUA:odell,cw:71c24d09,,odell-002alf,O'Dell,Alfred,Alfred,
1916-SOUA:orourke,cw:017d97b0,orouf101,orourk002jam,O'Rourke,Frank,James Francis,18931128
1916-SOUA:paulette,cw:147b2f14,paulg102,paulet002eug,Paulette,Gene,Eugene Edward,18910526
1916-SOUA:payne,cw:1099b4bc,paynf101,payne-001fre,Payne,Fred,Frederick Thomas,18800902
1916-SOUA:perkins,cw:da262631,perkc101,perkin001ral,Perkins,Cy,Ralph Foster,18960227
1916-SOUA:perry,cw:55c35b63,perrs101,perry-002her,Perry,Scott,Herbert Scott,18910417
1916-SOUA:perryman,cw:d47dee3d,perrp102,perrym001emm,Perryman,Parson,Emmett Key,18881024
1916-SOUA:peters,cw:5da5252e,petej102,peters003joh,Peters,John,John William,18930714
1916-SOUA:pezold,cw:ed805f30,pezol101,pezold001lor,Pezold,Larry,Lorenz Johannes,18930622
1916-SOUA:pitler,cw:4b700caf,pitlj101,pitler001jac,Pitler,Jake,Jacob Albert,18940422
1916-SOUA:ponder,cw:10ed2b13,ponde101,ponder001cha,Ponder,Elmer,Charles Elmer,18930626
1916-SOUA:powell,cw:2c2643b4,poweb102,powell003wil,Powell,Bill,William Burris,18850508
1916-SOUA:powers,cw:3d0332d7,,powers002pet,Powers,Peter,Peter,
1916-SOUA:prieste,cw:ab7481ac,,priest001mon,Priest,Monte,Morey Jordan,18911125
1916-SOUA:reilly-atl,cw:3e0ce945,reilt101,reilly002tho,Reilly,Tom,Thomas Henry,18840803
1916-SOUA:reilly-mob,cw:2c3a2da1,reilh101,reilly001har,Reilly,Hal,Harold John,18940401
1916-SOUA:robertson-bir,cw:827b1b9e,robed106,robert002pre,Robertson,Dick,Preston James,18910916
1916-SOUA:robertson-mem,cw:8dcb3dec,,robert009wil,Robertson,William,William Clifford,18831231
1916-SOUA:robinson,cw:807cc0e9,robih102,robins003joh,Robinson,Hank,John Henry,18870816
1916-SOUA:rogers,cw:89e80bff,roget101,rogers001tho,Rogers,Tom,Thomas Andrew,18920212
1916-SOUA:ruel,cw:cd44a05b,ruelm101,ruel--001her,Ruel,Muddy,Herold Dominic,18960220
1916-SOUA:rumler,cw:91b314d0,rumlw101,rumler002wil,Rumler,William,William George,18910327
1916-SOUA:schmidt,cw:b252f8b9,schmb102,schmid001cha,Schmidt,Boss,Charles,18800912
1916-SOUA:sharman,cw:ab861087,sharr101,sharma001ral,Sharman,Ralph,Ralph Edward,18950411
1916-SOUA:sheehan,cw:81783509,,sheeha001tho,Sheehan,Thomas,Thomas,
1916-SOUA:smith-bir,cw:4f15676e,smitr104,smith-007wil,Smith,Red,Willard Jehu,18920411
1916-SOUA:smith-no,cw:208b356c,smitp107,smith-002cla,Smith,Pop-boy,Clarence Ossie,18920523
1916-SOUA:smykal,cw:cdd9d5c2,smykf101,smykal001fra,Smykal,Frank,Frank John,18891013
1916-SOUA:snyder,cw:0d2f9912,,snyder001jos,Snyder,Joseph,Joseph,
1916-SOUA:stansbury,cw:41a9a5f0,stanj102,stansb001joh,Stansbury,Jack,John James,18851206
1916-SOUA:stark,cw:9ed89161,stard101,stark-001mon,Stark,Dolly,Monroe Randolph,18850119
