source,league.year,league.name,ident,person.ref,person.name.last,person.name.given,S_STINT,entry.name,B_G,P_G,F_1B_G,F_2B_G,F_3B_G,F_SS_G,F_OF_G,F_LF_G,F_CF_G,F_RF_G,F_C_G,F_P_G,F_ALL_G
minoraverages/1947TSN,1946,East Texas League,graves,B00045,Graves,June,1,Sherman,,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,graves,B00045,Graves,June,2,Lufkin,,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,graves,B00045,Graves,June,T,,17,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,graves,P10714,Graves,June,1,Sherman,,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,graves,P10714,Graves,June,2,Texarkana,,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,graves,P10714,Graves,June,3,Lufkin,,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,graves,P10714,Graves,June,T,,,10,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,green,B01359,Green,William,0,Sherman,28,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,green,P10575,Green,William,0,Sherman,,27,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,greer,B02231,Greer,Ed,0,Texarkana,,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,greer,P10215,Greer,Ed,0,Texarkana,,7,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,griffin.j,B00822,Griffin,James,0,Paris,138,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,griffin.c,B02168,Griffin,Clarence,0,Paris,,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,griffin.j,F20279,Griffin,,0,Paris,,,,138,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,griffin.c,P10455,Griffin,Clarence,0,Paris,,6,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,griffman,B02606,Griffman,C.,0,Henderson,,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,grigg,B01124,Grigg,James B.,1,Sherman,,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,grigg,B01124,Grigg,James B.,2,Paris,,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,grigg,B01124,Grigg,James B.,T,,95,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,grigg,F20350,Grigg,,1,Sherman,,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,grigg,F20350,Grigg,,2,Paris,,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,grigg,F20350,Grigg,,T,,,,,12,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,grigg,F20829,Grigg,,1,Sherman,,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,grigg,F20829,Grigg,,2,Paris,,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,grigg,F20829,Grigg,,T,,,,,,,,,,,,69,,
minoraverages/1947TSN,1946,East Texas League,grisham,B01572,Grisham,Garry,0,Greenville,14,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,grisham,P10159,Grisham,Garry,0,Greenville,,12,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,grove,B01170,Grove,Dale,0,Henderson,32,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,grove,P10145,Grove,Dale,0,Henderson,,32,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,gustovich,B00544,Gustovich,Pete,1,Jacksonville,,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,gustovich,B00544,Gustovich,Pete,2,Tyler,,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,gustovich,B00544,Gustovich,Pete,T,,116,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,gustovich,F21182,Gustovich,,1,Jacksonville,,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,gustovich,F21182,Gustovich,,2,Tyler,,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,gustovich,F21182,Gustovich,,T,,,,,,,,,,,109,,,
minoraverages/1947TSN,1946,East Texas League,hale,B00370,Hale,Ben,0,Sherman,52,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,hale,F21037,Hale,,0,Sherman,,,,,,,,52,,,,,
minoraverages/1947TSN,1946,East Texas League,hammock,B02679,Hammock,Marv,0,Lufkin,,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,hare,B02348,Hare,Joseph,0,Texarkana,,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,head,B00324,Head,Woodrow,0,Greenville,127,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,head,F20240,Head,,0,Greenville,,,,93,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,head,F20430,Head,,0,Greenville,,,,,,34,,,,,,,
minoraverages/1947TSN,1946,East Texas League,hibbs,B00806,Hibbs,Hardy,0,Lufkin,99,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,hibbs,F20935,Hibbs,,0,Lufkin,,,,,,,,,,,91,,
minoraverages/1947TSN,1946,East Texas League,hickson,B02486,Hickson,Bill,0,Tyler,,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,hill,B00229,Hill,Robert,0,Tyler,24,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,hill,F21130,Hill,,0,Tyler,,,,,,,,22,,,,,
minoraverages/1947TSN,1946,East Texas League,hinson,B02826,Hinson,Rip,0,Lufkin,,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,hodge,B02024,Hodge,Bill,0,Greenville,,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,hogan,B00589,Hogan,James,0,Henderson,42,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,hogan,P10312,Hogan,James,0,Henderson,,33,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,holemann,B02244,Holemann,Ted,0,Texarkana,,,,,,,,,,,,,
minoraverages/1947TSN,1946,East Texas League,holliday,B00904,Holliday,Walter,0,Jacksonville,91,,,,,,,,,,,,
