league.year,league.name,entry.name,team.key
1894,National League,Philadelphia,PHI
1894,National League,Pittsburgh,PIT
1894,National League,St. Louis,SLN
1894,National League,Washington,WSN
1895,National League,Baltimore,BLN
1895,National League,Boston,BSN
1895,National League,Brooklyn,BRO
1895,National League,Chicago,CHN
1895,National League,Cincinnati,CIN
1895,National League,Cleveland,CL4
1895,National League,Louisville,LS3
1895,National League,New York,NY1
1895,National League,Philadelphia,PHI
1895,National League,Pittsburgh,PIT
1895,National League,St. Louis,SLN
1895,National League,Washington,WSN
1896,National League,Baltimore,BLN
1896,National League,Boston,BSN
1896,National League,Brooklyn,BRO
1896,National League,Chicago,CHN
1896,National League,Cincinnati,CIN
1896,National League,Cleveland,CL4
1896,National League,Louisville,LS3
1896,National League,New York,NY1
1896,National League,Philadelphia,PHI
1896,National League,Pittsburgh,PIT
1896,National League,St. Louis,SLN
1896,National League,Washington,WSN
1897,National League,Baltimore,BLN
1897,National League,Boston,BSN
1897,National League,Brooklyn,BRO
1897,National League,Chicago,CHN
1897,National League,Cincinnati,CIN
1897,National League,Cleveland,CL4
1897,National League,Louisville,LS3
1897,National League,New York,NY1
1897,National League,Philadelphia,PHI
1897,National League,Pittsburgh,PIT
1897,National League,St. Louis,SLN
1897,National League,Washington,WSN
1898,National League,Baltimore,BLN
1898,National League,Boston,BSN
1898,National League,Brooklyn,BRO
1898,National League,Chicago,CHN
1898,National League,Cincinnati,CIN
1898,National League,Cleveland,CL4
1898,National League,Louisville,LS3
1898,National League,New York,NY1
1898,National League,Philadelphia,PHI
1898,National League,Pittsburgh,PIT
1898,National League,St. Louis,SLN
1898,National League,Washington,WSN
1899,National League,Baltimore,BLN
1899,National League,Boston,BSN
1899,National League,Brooklyn,BRO
1899,National League,Chicago,CHN
1899,National League,Cincinnati,CIN
1899,National League,Cleveland,CL4
1899,National League,Louisville,LS3
1899,National League,New York,NY1
1899,National League,Philadelphia,PHI
1899,National League,Pittsburgh,PIT
1899,National League,St. Louis,SLN
1899,National League,Washington,WSN
1900,National League,Boston,BSN
1900,National League,Brooklyn,BRO
1900,National League,Chicago,CHN
1900,National League,Cincinnati,CIN
1900,National League,New York,NY1
1900,National League,Philadelphia,PHI
1900,National League,Pittsburgh,PIT
1900,National League,St. Louis,SLN
1901,American League,Baltimore,BLA
1901,American League,Boston,BOS
1901,American League,Chicago,CHA
1901,American League,Cleveland,CLE
1901,American League,Detroit,DET
1901,American League,Milwaukee,MLA
1901,American League,Philadelphia,PHA
1901,American League,Washington,WS1
1901,National League,Boston,BSN
1901,National League,Brooklyn,BRO
1901,National League,Chicago,CHN
1901,National League,Cincinnati,CIN
1901,National League,New York,NY1
1901,National League,Philadelphia,PHI
1901,National League,Pittsburgh,PIT
1901,National League,St. Louis,SLN
1902,American League,Baltimore,BLA
1902,American League,Boston,BOS
1902,American League,Chicago,CHA
1902,American League,Cleveland,CLE
1902,American League,Detroit,DET
1902,American League,Philadelphia,PHA
1902,American League,St. Louis,SLA
1902,American League,Washington,WS1
1902,National League,Boston,BSN
1902,National League,Brooklyn,BRO
1902,National League,Chicago,CHN
1902,National League,Cincinnati,CIN
1902,National League,New York,NY1
1902,National League,Philadelphia,PHI
1902,National League,Pittsburgh,PIT
1902,National League,St. Louis,SLN
1903,American League,Boston,BOS
1903,American League,Chicago,CHA
1903,American League,Cleveland,CLE
1903,American League,Detroit,DET
1903,American League,New York,NYA
1903,American League,Philadelphia,PHA
1903,American League,St. Louis,SLA
1903,American League,Washington,WS1
1903,National League,Boston,BSN
1903,National League,Brooklyn,BRO
1903,National League,Chicago,CHN
1903,National League,Cincinnati,CIN
1903,National League,New York,NY1
1903,National League,Philadelphia,PHI
1903,National League,Pittsburgh,PIT
1903,National League,St. Louis,SLN
1904,American League,Boston,BOS
1904,American League,Chicago,CHA
1904,American League,Cleveland,CLE
1904,American League,Detroit,DET
1904,American League,New York,NYA
1904,American League,Philadelphia,PHA
1904,American League,St. Louis,SLA
1904,American League,Washington,WS1
1904,National League,Boston,BSN
1904,National League,Brooklyn,BRO
1904,National League,Chicago,CHN
1904,National League,Cincinnati,CIN
1904,National League,New York,NY1
1904,National League,Philadelphia,PHI
1904,National League,Pittsburgh,PIT
1904,National League,St. Louis,SLN
1905,American League,Boston,BOS
1905,American League,Chicago,CHA
1905,American League,Cleveland,CLE
1905,American League,Detroit,DET
1905,American League,New York,NYA
1905,American League,Philadelphia,PHA
1905,American League,St. Louis,SLA
1905,American League,Washington,WS1
1905,National League,Boston,BSN
1905,National League,Brooklyn,BRO
1905,National League,Chicago,CHN
1905,National League,Cincinnati,CIN
1905,National League,New York,NY1
1905,National League,Philadelphia,PHI
1905,National League,Pittsburgh,PIT
1905,National League,St. Louis,SLN
1906,American League,Boston,BOS
1906,American League,Chicago,CHA
1906,American League,Cleveland,CLE
1906,American League,Detroit,DET
1906,American League,New York,NYA
1906,American League,Philadelphia,PHA
1906,American League,St. Louis,SLA
1906,American League,Washington,WS1
1906,National League,Boston,BSN
1906,National League,Brooklyn,BRO
1906,National League,Chicago,CHN
1906,National League,Cincinnati,CIN
1906,National League,New York,NY1
1906,National League,Philadelphia,PHI
1906,National League,Pittsburgh,PIT
1906,National League,St. Louis,SLN
1907,American League,Boston,BOS
1907,American League,Chicago,CHA
1907,American League,Cleveland,CLE
1907,American League,Detroit,DET
1907,American League,New York,NYA
1907,American League,Philadelphia,PHA
1907,American League,St. Louis,SLA
1907,American League,Washington,WS1
1907,National League,Boston,BSN
1907,National League,Brooklyn,BRO
1907,National League,Chicago,CHN
1907,National League,Cincinnati,CIN
1907,National League,New York,NY1
1907,National League,Philadelphia,PHI
1907,National League,Pittsburgh,PIT
1907,National League,St. Louis,SLN
1908,American League,Boston,BOS
1908,American League,Chicago,CHA
1908,American League,Cleveland,CLE
1908,American League,Detroit,DET
1908,American League,New York,NYA
1908,American League,Philadelphia,PHA
1908,American League,St. Louis,SLA
1908,American League,Washington,WS1
1908,National League,Boston,BSN
1908,National League,Brooklyn,BRO
1908,National League,Chicago,CHN
1908,National League,Cincinnati,CIN
1908,National League,New York,NY1
1908,National League,Philadelphia,PHI
1908,National League,Pittsburgh,PIT
1908,National League,St. Louis,SLN
1909,American League,Boston,BOS
1909,American League,Chicago,CHA
1909,American League,Cleveland,CLE
1909,American League,Detroit,DET
1909,American League,New York,NYA
1909,American League,Philadelphia,PHA
1909,American League,St. Louis,SLA
1909,American League,Washington,WS1
1909,National League,Boston,BSN
1909,National League,Brooklyn,BRO
1909,National League,Chicago,CHN
1909,National League,Cincinnati,CIN
1909,National League,New York,NY1
1909,National League,Philadelphia,PHI
1909,National League,Pittsburgh,PIT
1909,National League,St. Louis,SLN
1910,American League,Boston,BOS
1910,American League,Chicago,CHA
1910,American League,Cleveland,CLE
1910,American League,Detroit,DET
1910,American League,New York,NYA
1910,American League,Philadelphia,PHA
1910,American League,St. Louis,SLA
1910,American League,Washington,WS1
1910,National League,Boston,BSN
1910,National League,Brooklyn,BRO
1910,National League,Chicago,CHN
1910,National League,Cincinnati,CIN
1910,National League,New York,NY1
1910,National League,Philadelphia,PHI
1910,National League,Pittsburgh,PIT
1910,National League,St. Louis,SLN
1911,American League,Boston,BOS
1911,American League,Chicago,CHA
1911,American League,Cleveland,CLE
1911,American League,Detroit,DET
1911,American League,New York,NYA
1911,American League,Philadelphia,PHA
1911,American League,St. Louis,SLA
1911,American League,Washington,WS1
1911,National League,Boston,BSN
1911,National League,Brooklyn,BRO
1911,National League,Chicago,CHN
1911,National League,Cincinnati,CIN
1911,National League,New York,NY1
1911,National League,Philadelphia,PHI
1911,National League,Pittsburgh,PIT
1911,National League,St. Louis,SLN
1912,American League,Boston,BOS
1912,American League,Chicago,CHA
1912,American League,Cleveland,CLE
1912,American League,Detroit,DET
1912,American League,New York,NYA
1912,American League,Philadelphia,PHA
1912,American League,St. Louis,SLA
1912,American League,Washington,WS1
1912,National League,Boston,BSN
1912,National League,Brooklyn,BRO
1912,National League,Chicago,CHN
1912,National League,Cincinnati,CIN
1912,National League,New York,NY1
1912,National League,Philadelphia,PHI
1912,National League,Pittsburgh,PIT
1912,National League,St. Louis,SLN
1913,American League,Boston,BOS
1913,American League,Chicago,CHA
1913,American League,Cleveland,CLE
1913,American League,Detroit,DET
1913,American League,New York,NYA
1913,American League,Philadelphia,PHA
1913,American League,St. Louis,SLA
1913,American League,Washington,WS1
1913,National League,Boston,BSN
1913,National League,Brooklyn,BRO
1913,National League,Chicago,CHN
1913,National League,Cincinnati,CIN
1913,National League,New York,NY1
1913,National League,Philadelphia,PHI
1913,National League,Pittsburgh,PIT
1913,National League,St. Louis,SLN
1914,American League,Boston,BOS
1914,American League,Chicago,CHA
1914,American League,Cleveland,CLE
1914,American League,Detroit,DET
1914,American League,New York,NYA
1914,American League,Philadelphia,PHA
1914,American League,St. Louis,SLA
1914,American League,Washington,WS1
1914,Federal League,Baltimore,BLF
1914,Federal League,Brooklyn,BRF
1914,Federal League,Buffalo,BUF
1914,Federal League,Chicago,CHF
1914,Federal League,Indianapolis,IND
1914,Federal League,Kansas City,KCF
1914,Federal League,Pittsburgh,PTF
1914,Federal League,St. Louis,SLF
1914,National League,Boston,BSN
1914,National League,Brooklyn,BRO
1914,National League,Chicago,CHN
1914,National League,Cincinnati,CIN
1914,National League,New York,NY1
1914,National League,Philadelphia,PHI
1914,National League,Pittsburgh,PIT
1914,National League,St. Louis,SLN
1915,American League,Boston,BOS
1915,American League,Chicago,CHA
1915,American League,Cleveland,CLE
1915,American League,Detroit,DET
1915,American League,New York,NYA
1915,American League,Philadelphia,PHA
1915,American League,St. Louis,SLA
1915,American League,Washington,WS1
1915,Federal League,Baltimore,BLF
1915,Federal League,Brooklyn,BRF
1915,Federal League,Buffalo,BUF
1915,Federal League,Chicago,CHF
1915,Federal League,Kansas City,KCF
1915,Federal League,Newark,NEW
1915,Federal League,Pittsburgh,PTF
1915,Federal League,St. Louis,SLF
1915,National League,Boston,BSN
1915,National League,Brooklyn,BRO
1915,National League,Chicago,CHN
1915,National League,Cincinnati,CIN
1915,National League,New York,NY1
1915,National League,Philadelphia,PHI
1915,National League,Pittsburgh,PIT
1915,National League,St. Louis,SLN
1916,American League,Boston,BOS
1916,American League,Chicago,CHA
1916,American League,Cleveland,CLE
1916,American League,Detroit,DET
1916,American League,New York,NYA
1916,American League,Philadelphia,PHA
1916,American League,St. Louis,SLA
1916,American League,Washington,WS1
1916,National League,Boston,BSN
1916,National League,Brooklyn,BRO
1916,National League,Chicago,CHN
1916,National League,Cincinnati,CIN
1916,National League,New York,NY1
1916,National League,Philadelphia,PHI
1916,National League,Pittsburgh,PIT
1916,National League,St. Louis,SLN
1917,American League,Boston,BOS
1917,American League,Chicago,CHA
1917,American League,Cleveland,CLE
1917,American League,Detroit,DET
1917,American League,New York,NYA
1917,American League,Philadelphia,PHA
1917,American League,St. Louis,SLA
1917,American League,Washington,WS1
1917,National League,Boston,BSN
1917,National League,Brooklyn,BRO
1917,National League,Chicago,CHN
1917,National League,Cincinnati,CIN
1917,National League,New York,NY1
1917,National League,Philadelphia,PHI
1917,National League,Pittsburgh,PIT
1917,National League,St. Louis,SLN
1918,American League,Boston,BOS
1918,American League,Chicago,CHA
1918,American League,Cleveland,CLE
1918,American League,Detroit,DET
1918,American League,New York,NYA
1918,American League,Philadelphia,PHA
1918,American League,St. Louis,SLA
1918,American League,Washington,WS1
1918,National League,Boston,BSN
1918,National League,Brooklyn,BRO
1918,National League,Chicago,CHN
1918,National League,Cincinnati,CIN
1918,National League,New York,NY1
1918,National League,Philadelphia,PHI
1918,National League,Pittsburgh,PIT
1918,National League,St. Louis,SLN
1919,American League,Boston,BOS
1919,American League,Chicago,CHA
